# primary_source, primary_data_type, primary_descriptor, dependent_source, dependent_data_type, dependent_descriptor, relationship, dependency_type

# <---- CoDICE Dependencies ---->

codice, l0, raw, codice, l1a, all, HARD, DOWNSTREAM
repoint, repoint, historical, glows, l3b, ion-rate-profile, HARD_NO_TRIGGER, DOWNSTREAM


glows, l3c, sw-profile, glows, l3d, solar-hist, HARD, DOWNSTREAM
glows, ancillary, pipeline-settings-l3bcde, glows, l3d, solar-hist, HARD, DOWNSTREAM
glows, ancillary, plasma-speed-2010a, glows, l3d, solar-hist, HARD, DOWNSTREAM
glows, ancillary, proton-density-2010a, glows, l3d, solar-hist, HARD, DOWNSTREAM
glows, ancillary, uv-anisotropy-2010a, glows, l3d, solar-hist, HARD, DOWNSTREAM
glows, ancillary, photoion-2010a, glows, l3d, solar-hist, HARD, DOWNSTREAM
glows, ancillary, electron-density-2010a, glows, l3d, solar-hist, HARD, DOWNSTREAM
glows, ancillary, lya-2010a, glows, l3d, solar-hist, HARD, DOWNSTREAM
glows, ancillary, l3b-archive, glows, l3d, solar-hist, HARD, DOWNSTREAM

# <---- GLOWS to ENA Dependencies ---->

# Low
glows, l3d, solar-hist, glows, l3e, survival-probability-lo, HARD, DOWNSTREAM
glows, l3d, p-dens, glows, l3e, survival-probability-lo, HARD, DOWNSTREAM
glows, ancillary, energy-grid-lo, glows, l3e, survival-probability-lo, HARD, DOWNSTREAM
glows, ancillary, ionization-files, glows, l3e, survival-probability-lo, HARD, DOWNSTREAM
glows, ancillary, tess-xyz-8, glows, l3e, survival-probability-lo, HARD, DOWNSTREAM
glows, l3d, lya, glows, l3e, survival-probability-lo, HARD, DOWNSTREAM
glows, l3d, phion, glows, l3e, survival-probability-lo, HARD, DOWNSTREAM
glows, l3d, speed, glows, l3e, survival-probability-lo, HARD, DOWNSTREAM
glows, l3d, uv-anis, glows, l3e, survival-probability-lo, HARD, DOWNSTREAM
glows, l3d, e-dens, glows, l3e, survival-probability-lo, HARD, DOWNSTREAM
glows, ancillary, pipeline-settings-l3bcde, glows, l3e, survival-probability-lo, HARD, DOWNSTREAM
science_frames, spice, historical, glows, l3e, survival-probability-lo, HARD_NO_TRIGGER, DOWNSTREAM
ephemeris_reconstructed, spice, historical, glows, l3e, survival-probability-lo, HARD_NO_TRIGGER, DOWNSTREAM
attitude_history, spice, historical, glows, l3e, survival-probability-lo, HARD_NO_TRIGGER, DOWNSTREAM
pointing_attitude, spice, historical, glows, l3e, survival-probability-lo, HARD_NO_TRIGGER, DOWNSTREAM
planetary_ephemeris, spice, best, glows, l3e, survival-probability-lo, HARD_NO_TRIGGER, DOWNSTREAM
leapseconds, spice, historical, glows, l3e, survival-probability-lo, HARD_NO_TRIGGER, DOWNSTREAM
spacecraft_clock, spice, historical, glows, l3e, survival-probability-lo, HARD_NO_TRIGGER, DOWNSTREAM
repoint, repoint, historical, glows, l3e, survival-probability-lo, HARD_NO_TRIGGER, DOWNSTREAM

# Hi-45
glows, l3d, solar-hist, glows, l3e, survival-probability-hi-45, HARD, DOWNSTREAM
glows, l3d, p-dens, glows, l3e, survival-probability-hi-45, HARD, DOWNSTREAM
glows, ancillary, energy-grid-hi, glows, l3e, survival-probability-hi-45, HARD, DOWNSTREAM
glows, ancillary, ionization-files, glows, l3e, survival-probability-hi-45, HARD, DOWNSTREAM
glows, l3d, lya, glows, l3e, survival-probability-hi-45, HARD, DOWNSTREAM
glows, l3d, phion, glows, l3e, survival-probability-hi-45, HARD, DOWNSTREAM
glows, l3d, speed, glows, l3e, survival-probability-hi-45, HARD, DOWNSTREAM
glows, l3d, uv-anis, glows, l3e, survival-probability-hi-45, HARD, DOWNSTREAM
glows, l3d, e-dens, glows, l3e, survival-probability-hi-45, HARD, DOWNSTREAM
glows, ancillary, pipeline-settings-l3bcde, glows, l3e, survival-probability-hi-45, HARD, DOWNSTREAM
science_frames, spice, historical, glows, l3e, survival-probability-hi-45, HARD_NO_TRIGGER, DOWNSTREAM
ephemeris_reconstructed, spice, historical, glows, l3e, survival-probability-hi-45, HARD_NO_TRIGGER, DOWNSTREAM
attitude_history, spice, historical, glows, l3e, survival-probability-hi-45, HARD_NO_TRIGGER, DOWNSTREAM
pointing_attitude, spice, historical, glows, l3e, survival-probability-lo, HARD_NO_TRIGGER, DOWNSTREAM
planetary_ephemeris, spice, best, glows, l3e, survival-probability-lo, HARD_NO_TRIGGER, DOWNSTREAM
leapseconds, spice, historical, glows, l3e, survival-probability-hi-45, HARD_NO_TRIGGER, DOWNSTREAM
spacecraft_clock, spice, historical, glows, l3e, survival-probability-hi-45, HARD_NO_TRIGGER, DOWNSTREAM
repoint, repoint, historical, glows, l3e, survival-probability-hi-45, HARD_NO_TRIGGER, DOWNSTREAM

# Hi-90
glows, l3d, solar-hist, glows, l3e, survival-probability-hi-90, HARD, DOWNSTREAM
glows, l3d, p-dens, glows, l3e, survival-probability-hi-90, HARD, DOWNSTREAM
glows, ancillary, energy-grid-hi, glows, l3e, survival-probability-hi-90, HARD, DOWNSTREAM
glows, ancillary, ionization-files, glows, l3e, survival-probability-hi-90, HARD, DOWNSTREAM
glows, l3d, lya, glows, l3e, survival-probability-hi-90, HARD, DOWNSTREAM
glows, l3d, phion, glows, l3e, survival-probability-hi-90, HARD, DOWNSTREAM
glows, l3d, speed, glows, l3e, survival-probability-hi-90, HARD, DOWNSTREAM
glows, l3d, uv-anis, glows, l3e, survival-probability-hi-90, HARD, DOWNSTREAM
glows, l3d, e-dens, glows, l3e, survival-probability-hi-90, HARD, DOWNSTREAM
glows, ancillary, pipeline-settings-l3bcde, glows, l3e, survival-probability-hi-90, HARD, DOWNSTREAM
science_frames, spice, historical, glows, l3e, survival-probability-hi-90, HARD_NO_TRIGGER, DOWNSTREAM
ephemeris_reconstructed, spice, historical, glows, l3e, survival-probability-hi-90, HARD_NO_TRIGGER, DOWNSTREAM
attitude_history, spice, historical, glows, l3e, survival-probability-hi-90, HARD_NO_TRIGGER, DOWNSTREAM
pointing_attitude, spice, historical, glows, l3e, survival-probability-lo, HARD_NO_TRIGGER, DOWNSTREAM
planetary_ephemeris, spice, best, glows, l3e, survival-probability-lo, HARD_NO_TRIGGER, DOWNSTREAM
leapseconds, spice, historical, glows, l3e, survival-probability-hi-90, HARD_NO_TRIGGER, DOWNSTREAM
spacecraft_clock, spice, historical, glows, l3e, survival-probability-hi-90, HARD_NO_TRIGGER, DOWNSTREAM
repoint, repoint, historical, glows, l3e, survival-probability-hi-90, HARD_NO_TRIGGER, DOWNSTREAM

# Ultra
glows, l3d, solar-hist, glows, l3e, survival-probability-ul, HARD, DOWNSTREAM
glows, l3d, p-dens, glows, l3e, survival-probability-ul, HARD, DOWNSTREAM
glows, ancillary, energy-grid-ultra, glows, l3e, survival-probability-ul, HARD, DOWNSTREAM
glows, ancillary, ionization-files, glows, l3e, survival-probability-ul, HARD, DOWNSTREAM
glows, ancillary, tess-ang-16, glows, l3e, survival-probability-ul, HARD, DOWNSTREAM
glows, l3d, lya, glows, l3e, survival-probability-ul, HARD, DOWNSTREAM
glows, l3d, phion, glows, l3e, survival-probability-ul, HARD, DOWNSTREAM
glows, l3d, speed, glows, l3e, survival-probability-ul, HARD, DOWNSTREAM
glows, l3d, uv-anis, glows, l3e, survival-probability-ul, HARD, DOWNSTREAM
glows, l3d, e-dens, glows, l3e, survival-probability-ul, HARD, DOWNSTREAM
glows, ancillary, pipeline-settings-l3bcde, glows, l3e, survival-probability-ul, HARD, DOWNSTREAM
science_frames, spice, historical, glows, l3e, survival-probability-ul, HARD_NO_TRIGGER, DOWNSTREAM
ephemeris_reconstructed, spice, historical, glows, l3e, survival-probability-ul, HARD_NO_TRIGGER, DOWNSTREAM
attitude_history, spice, historical, glows, l3e, survival-probability-ul, HARD_NO_TRIGGER, DOWNSTREAM
pointing_attitude, spice, historical, glows, l3e, survival-probability-lo, HARD_NO_TRIGGER, DOWNSTREAM
planetary_ephemeris, spice, best, glows, l3e, survival-probability-lo, HARD_NO_TRIGGER, DOWNSTREAM
leapseconds, spice, historical, glows, l3e, survival-probability-ul, HARD_NO_TRIGGER, DOWNSTREAM
spacecraft_clock, spice, historical, glows, l3e, survival-probability-ul, HARD_NO_TRIGGER, DOWNSTREAM
repoint, repoint, historical, glows, l3e, survival-probability-ul, HARD_NO_TRIGGER, DOWNSTREAM

# <---- HI Dependencies ---->
# L1A
hi, l0, raw, hi, l1a, all, HARD, DOWNSTREAM
leapseconds, spice, historical, hi, l1a, all, HARD_NO_TRIGGER, DOWNSTREAM
spacecraft_clock, spice, historical, hi, l1a, all, HARD_NO_TRIGGER, DOWNSTREAM

# L1B HK
hi, l0, raw, hi, l1b, hk, HARD, DOWNSTREAM
leapseconds, spice, historical, hi, l1b, hk, HARD_NO_TRIGGER, DOWNSTREAM
spacecraft_clock, spice, historical, hi, l1b, hk, HARD_NO_TRIGGER, DOWNSTREAM

# L1B 45sensor-de
hi, l1a, 45sensor-de, hi, l1b, 45sensor-de, HARD, DOWNSTREAM
leapseconds, spice, historical, hi, l1b, 45sensor-de, HARD_NO_TRIGGER, DOWNSTREAM
spacecraft_clock, spice, historical, hi, l1b, 45sensor-de, HARD_NO_TRIGGER, DOWNSTREAM
imap_frames, spice, historical, hi, l1b, 45sensor-de, HARD_NO_TRIGGER, DOWNSTREAM
planetary_ephemeris, spice, best, hi, l1b, 45sensor-de, HARD_NO_TRIGGER, DOWNSTREAM
attitude_history, spice, historical, hi, l1b, 45sensor-de, HARD, DOWNSTREAM
ephemeris_reconstructed, spice, historical, hi, l1b, 45sensor-de, HARD_NO_TRIGGER, DOWNSTREAM
ephemeris_predicted, spice, best, hi, l1b, 45sensor-de, HARD_NO_TRIGGER, DOWNSTREAM
ephemeris_90days, spice, best, hi, l1b, 45sensor-de, HARD_NO_TRIGGER, DOWNSTREAM
spin, spin, historical, hi, l1b, 45sensor-de, HARD_NO_TRIGGER, DOWNSTREAM

# L1B 90sensor-de
hi, l1a, 90sensor-de, hi, l1b, 90sensor-de, HARD, DOWNSTREAM
leapseconds, spice, historical, hi, l1b, 90sensor-de, HARD_NO_TRIGGER, DOWNSTREAM
spacecraft_clock, spice, historical, hi, l1b, 90sensor-de, HARD_NO_TRIGGER, DOWNSTREAM
imap_frames, spice, historical, hi, l1b, 90sensor-de, HARD_NO_TRIGGER, DOWNSTREAM
planetary_ephemeris, spice, best, hi, l1b, 90sensor-de, HARD_NO_TRIGGER, DOWNSTREAM
attitude_history, spice, historical, hi, l1b, 90sensor-de, HARD, DOWNSTREAM
ephemeris_reconstructed, spice, historical, hi, l1b, 90sensor-de, HARD_NO_TRIGGER, DOWNSTREAM
ephemeris_predicted, spice, best, hi, l1b, 90sensor-de, HARD_NO_TRIGGER, DOWNSTREAM
ephemeris_90days, spice, best, hi, l1b, 90sensor-de, HARD_NO_TRIGGER, DOWNSTREAM
spin, spin, historical, hi, l1b, 90sensor-de, HARD_NO_TRIGGER, DOWNSTREAM

# L1C 45sensor-pset
leapseconds, spice, historical, hi, l1c, 45sensor-pset, HARD_NO_TRIGGER, DOWNSTREAM
spacecraft_clock, spice, historical, hi, l1c, 45sensor-pset, HARD_NO_TRIGGER, DOWNSTREAM
imap_frames, spice, historical, hi, l1c, 45sensor-pset, HARD_NO_TRIGGER, DOWNSTREAM
science_frames, spice, historical, hi, l1c, 45sensor-pset, HARD_NO_TRIGGER, DOWNSTREAM
planetary_ephemeris, spice, best, hi, l1c, 45sensor-pset, HARD_NO_TRIGGER, DOWNSTREAM
attitude_history, spice, historical, hi, l1c, 45sensor-pset, HARD_NO_TRIGGER, DOWNSTREAM
pointing_attitude, spice, historical, hi, l1c, 45sensor-pset, HARD, DOWNSTREAM
ephemeris_reconstructed, spice, historical, hi, l1c, 45sensor-pset, HARD_NO_TRIGGER, DOWNSTREAM
ephemeris_predicted, spice, best, hi, l1c, 45sensor-pset, HARD_NO_TRIGGER, DOWNSTREAM
ephemeris_90days, spice, best, hi, l1c, 45sensor-pset, HARD_NO_TRIGGER, DOWNSTREAM
spin, spin, historical, hi, l1c, 45sensor-pset, HARD_NO_TRIGGER, DOWNSTREAM
hi, ancillary, 45sensor-cal-prod, hi, l1c, 45sensor-pset, HARD, DOWNSTREAM
hi, l1b, 45sensor-de, hi, l1c, 45sensor-pset, HARD, DOWNSTREAM

# L1C 90sensor-pset
leapseconds, spice, historical, hi, l1c, 90sensor-pset, HARD_NO_TRIGGER, DOWNSTREAM
spacecraft_clock, spice, historical, hi, l1c, 90sensor-pset, HARD_NO_TRIGGER, DOWNSTREAM
imap_frames, spice, historical, hi, l1c, 90sensor-pset, HARD_NO_TRIGGER, DOWNSTREAM
science_frames, spice, historical, hi, l1c, 90sensor-pset, HARD_NO_TRIGGER, DOWNSTREAM
planetary_ephemeris, spice, best, hi, l1c, 90sensor-pset, HARD_NO_TRIGGER, DOWNSTREAM
attitude_history, spice, historical, hi, l1c, 90sensor-pset, HARD_NO_TRIGGER, DOWNSTREAM
pointing_attitude, spice, historical, hi, l1c, 90sensor-pset, HARD, DOWNSTREAM
ephemeris_reconstructed, spice, historical, hi, l1c, 90sensor-pset, HARD_NO_TRIGGER, DOWNSTREAM
ephemeris_predicted, spice, best, hi, l1c, 90sensor-pset, HARD_NO_TRIGGER, DOWNSTREAM
ephemeris_90days, spice, best, hi, l1c, 90sensor-pset, HARD_NO_TRIGGER, DOWNSTREAM
spin, spin, historical, hi, l1c, 90sensor-pset, HARD_NO_TRIGGER, DOWNSTREAM
hi, ancillary, 90sensor-cal-prod, hi, l1c, 90sensor-pset, HARD, DOWNSTREAM
hi, l1b, 90sensor-de, hi, l1c, 90sensor-pset, HARD, DOWNSTREAM

# Hi L2 Map Dependencies:
# Roughly 50 different Hi maps will be made - with the following parameters...
# 2 different reference frames          (hf,        sf)
# 3 different time periods              (3mo,       6mo,    1yr)
# 3 different ena directions            (full, ram, anti)
# 3 different map spacings/resolutions  (4deg,   6deg)
# 2 different sensors                   (45sensor,  90sensor)
# Hi-90 L2
# leapseconds
leapseconds, spice, historical, hi, l2, h90-ena-h-sf-nsp-full-6deg-3mo, HARD_NO_TRIGGER, DOWNSTREAM
leapseconds, spice, historical, hi, l2, h90-ena-h-hf-nsp-full-6deg-3mo, HARD_NO_TRIGGER, DOWNSTREAM
leapseconds, spice, historical, hi, l2, h90-ena-h-sf-nsp-full-6deg-6mo, HARD_NO_TRIGGER, DOWNSTREAM
leapseconds, spice, historical, hi, l2, h90-ena-h-hf-nsp-full-6deg-6mo, HARD_NO_TRIGGER, DOWNSTREAM
leapseconds, spice, historical, hi, l2, h90-ena-h-sf-nsp-ram-6deg-6mo, HARD_NO_TRIGGER, DOWNSTREAM
leapseconds, spice, historical, hi, l2, h90-ena-h-hf-nsp-ram-6deg-6mo, HARD_NO_TRIGGER, DOWNSTREAM
leapseconds, spice, historical, hi, l2, h90-ena-h-sf-nsp-anti-6deg-6mo, HARD_NO_TRIGGER, DOWNSTREAM
leapseconds, spice, historical, hi, l2, h90-ena-h-hf-nsp-anti-6deg-6mo, HARD_NO_TRIGGER, DOWNSTREAM
leapseconds, spice, historical, hi, l2, h90-ena-h-sf-nsp-ram-6deg-1yr, HARD_NO_TRIGGER, DOWNSTREAM
leapseconds, spice, historical, hi, l2, h90-ena-h-hf-nsp-ram-6deg-1yr, HARD_NO_TRIGGER, DOWNSTREAM
leapseconds, spice, historical, hi, l2, h90-ena-h-sf-nsp-anti-6deg-1yr, HARD_NO_TRIGGER, DOWNSTREAM
leapseconds, spice, historical, hi, l2, h90-ena-h-hf-nsp-anti-6deg-1yr, HARD_NO_TRIGGER, DOWNSTREAM
leapseconds, spice, historical, hi, l2, h90-ena-h-sf-nsp-full-4deg-3mo, HARD_NO_TRIGGER, DOWNSTREAM
leapseconds, spice, historical, hi, l2, h90-ena-h-hf-nsp-full-4deg-3mo, HARD_NO_TRIGGER, DOWNSTREAM
leapseconds, spice, historical, hi, l2, h90-ena-h-sf-nsp-full-4deg-6mo, HARD_NO_TRIGGER, DOWNSTREAM
leapseconds, spice, historical, hi, l2, h90-ena-h-hf-nsp-full-4deg-6mo, HARD_NO_TRIGGER, DOWNSTREAM
leapseconds, spice, historical, hi, l2, h90-ena-h-sf-nsp-ram-4deg-6mo, HARD_NO_TRIGGER, DOWNSTREAM
leapseconds, spice, historical, hi, l2, h90-ena-h-hf-nsp-ram-4deg-6mo, HARD_NO_TRIGGER, DOWNSTREAM
leapseconds, spice, historical, hi, l2, h90-ena-h-sf-nsp-anti-4deg-6mo, HARD_NO_TRIGGER, DOWNSTREAM
leapseconds, spice, historical, hi, l2, h90-ena-h-hf-nsp-anti-4deg-6mo, HARD_NO_TRIGGER, DOWNSTREAM
leapseconds, spice, historical, hi, l2, h90-ena-h-sf-nsp-ram-4deg-1yr, HARD_NO_TRIGGER, DOWNSTREAM
leapseconds, spice, historical, hi, l2, h90-ena-h-hf-nsp-ram-4deg-1yr, HARD_NO_TRIGGER, DOWNSTREAM
leapseconds, spice, historical, hi, l2, h90-ena-h-sf-nsp-anti-4deg-1yr, HARD_NO_TRIGGER, DOWNSTREAM
leapseconds, spice, historical, hi, l2, h90-ena-h-hf-nsp-anti-4deg-1yr, HARD_NO_TRIGGER, DOWNSTREAM
# L1C PSET
hi, l1c, 90sensor-pset, hi, l2, h90-ena-h-sf-nsp-full-6deg-3mo, HARD_NO_TRIGGER, DOWNSTREAM
hi, l1c, 90sensor-pset, hi, l2, h90-ena-h-hf-nsp-full-6deg-3mo, HARD_NO_TRIGGER, DOWNSTREAM
hi, l1c, 90sensor-pset, hi, l2, h90-ena-h-sf-nsp-full-6deg-6mo, HARD_NO_TRIGGER, DOWNSTREAM
hi, l1c, 90sensor-pset, hi, l2, h90-ena-h-hf-nsp-full-6deg-6mo, HARD_NO_TRIGGER, DOWNSTREAM
hi, l1c, 90sensor-pset, hi, l2, h90-ena-h-sf-nsp-ram-6deg-6mo, HARD_NO_TRIGGER, DOWNSTREAM
hi, l1c, 90sensor-pset, hi, l2, h90-ena-h-hf-nsp-ram-6deg-6mo, HARD_NO_TRIGGER, DOWNSTREAM
hi, l1c, 90sensor-pset, hi, l2, h90-ena-h-sf-nsp-anti-6deg-6mo, HARD_NO_TRIGGER, DOWNSTREAM
hi, l1c, 90sensor-pset, hi, l2, h90-ena-h-hf-nsp-anti-6deg-6mo, HARD_NO_TRIGGER, DOWNSTREAM
hi, l1c, 90sensor-pset, hi, l2, h90-ena-h-sf-nsp-ram-6deg-1yr, HARD_NO_TRIGGER, DOWNSTREAM
hi, l1c, 90sensor-pset, hi, l2, h90-ena-h-hf-nsp-ram-6deg-1yr, HARD_NO_TRIGGER, DOWNSTREAM
hi, l1c, 90sensor-pset, hi, l2, h90-ena-h-sf-nsp-anti-6deg-1yr, HARD_NO_TRIGGER, DOWNSTREAM
hi, l1c, 90sensor-pset, hi, l2, h90-ena-h-hf-nsp-anti-6deg-1yr, HARD_NO_TRIGGER, DOWNSTREAM
hi, l1c, 90sensor-pset, hi, l2, h90-ena-h-sf-nsp-full-4deg-3mo, HARD_NO_TRIGGER, DOWNSTREAM
hi, l1c, 90sensor-pset, hi, l2, h90-ena-h-hf-nsp-full-4deg-3mo, HARD_NO_TRIGGER, DOWNSTREAM
hi, l1c, 90sensor-pset, hi, l2, h90-ena-h-sf-nsp-full-4deg-6mo, HARD_NO_TRIGGER, DOWNSTREAM
hi, l1c, 90sensor-pset, hi, l2, h90-ena-h-hf-nsp-full-4deg-6mo, HARD_NO_TRIGGER, DOWNSTREAM
hi, l1c, 90sensor-pset, hi, l2, h90-ena-h-sf-nsp-ram-4deg-6mo, HARD_NO_TRIGGER, DOWNSTREAM
hi, l1c, 90sensor-pset, hi, l2, h90-ena-h-hf-nsp-ram-4deg-6mo, HARD_NO_TRIGGER, DOWNSTREAM
hi, l1c, 90sensor-pset, hi, l2, h90-ena-h-sf-nsp-anti-4deg-6mo, HARD_NO_TRIGGER, DOWNSTREAM
